    SOYB 311.890 100.000
    CORN 125.450  80.220
    GRSG 110.500  75.000
    COTS 500.000 116.870
    COTP 600.000 116.870
    PNUT1500.000 551.000
    SUNF 190.000   5.000
    CSUN 190.000   5.000
    FALW   0.000   5.000
    WWHT 147.050  20.000
    SWHT 120.000  20.000
    CSWH 120.000  20.000
    DWHT 120.000  20.000
    BARL 120.000  20.000
    CBAR 120.000  20.000
    OATS 138.440  20.000
    COAT 140.000  20.000
    RICE 258.340  20.000
    RYE  120.000  75.000
    WPEA  24.000  75.000
    LEN1 100.000   5.000
    LENT 100.000   5.000
    CAN1 100.000   5.000
    CAN2 100.000   5.000
    FLAX 100.000   5.000
    FPEA  24.000   5.000
    MUNG 370.000   5.000
    SESB 370.000   5.000
    CSIL   0.000  31.500
    SGHY  96.600  33.080
    ALFA  77.000 172.860
    CLVA  24.000   5.000
    CLVR  24.000   5.000
    CLVS  24.000   5.000
    TIMO  20.000  72.760
    RNGE  20.000   5.000
    SPAS  20.000   5.000
    WPAS 120.000   5.000
    RYEA 120.000   5.000
    RYER 120.000   5.000
    RYEG 120.000   5.000
    WWGR  20.000   5.000
    NWGR  20.000   5.000
    SWGR  20.000   5.000
    CWGR  20.000   5.000
    BROM  20.000   5.000
    BROS  20.000   5.000
    CWPS 120.000   5.000
    BERM  20.000  72.760
    POTA  50.000 116.870
    POT2 496.130 266.800
    ASPR 120.000   5.000
    BROC 120.000   5.000
    CABG 120.000   5.000
    CAUF 120.000   5.000
    CELR 120.000   5.000
    LETT4500.000   5.000
    OLET4500.000   5.000
    SPIN 120.000   5.000
    CRRT 110.000 348.390
    ONIO 110.000 405.720
    SGBT 110.000  35.000
    GRBN 120.000   5.000
    LIMA 120.000   5.000
    PEAS 120.000   5.000
    CUCM 120.000   5.000
    EGGP 120.000   5.000
    CANT 120.000   5.000
    HMEL 120.000   5.000
    WMEL 120.000   5.000
    PEPR 120.000   5.000
    STRW 120.000   5.000
    TOMA 120.000   5.000
    ----   0.000   5.000
    SCRN 100.000   5.000
    TOBC 100.000   5.000
    SUGC 400.000   5.000
    FESC 120.000   5.000
    PMIL 140.000   5.000
    PINE1000.000   5.000
    MESQ1000.000   5.000
    APPL1000.000   5.000



























