    36.606    25.973     0.701    25.200    16.673     0.824     3.909     5.692     6.952     6.952     35253
     0.508    -0.892     2.571     0.095     0.225
    -0.255     0.713     0.265     0.207     0.307
     0.847     0.002    -0.196     0.155     0.276
    -0.600     0.793     0.326     0.196     0.316
     1.058    -0.306    -0.475     0.124     0.244
    -0.897     0.852    -0.426     0.223     0.383
    -0.085     0.244    -0.475     0.183     0.343
    -0.057     0.192    -0.475     0.176     0.297
    -0.671     1.790    -0.608     0.220     0.370
    -0.657     1.592    -0.511     0.226     0.396
     0.042    -0.841    -0.802     0.125     0.275
     0.818    -0.811    -0.839     0.118     0.288
     0.967    -0.643    -0.535     0.088     0.188
     1.531    -0.950    -0.535     0.071     0.151
     2.406    -1.038    -0.839     0.103     0.183
     2.082    -1.148    -0.499     0.063     0.143
     0.338     0.244    -0.390     0.192     0.422
     2.759    -1.156    -0.839     0.101     0.361
     2.343    -0.716    -0.814     0.151     0.341
     2.265    -1.295    -0.365     0.068     0.178
     0.183    -0.123    -0.693     0.174     0.304
     1.369    -1.200    -0.499     0.081     0.221
     0.353     0.170    -0.766     0.162     0.322
    -0.727     2.398    -0.438     0.259     0.439
     0.345     1.621    -0.608     0.241     0.321
     3.275    -1.104    -0.827     0.092     0.182
     1.729    -0.167    -0.802     0.151     0.251
     1.376    -0.679    -0.329     0.100     0.210
     1.814    -1.229    -0.450     0.069     0.170
     2.068    -1.507    -0.547     0.062     0.162
    -2.358     0.324    -0.147     0.172     0.322
    -2.386     0.500     0.496     0.180     0.330
    -2.294     0.163    -0.450     0.166     0.316
    -2.400     0.551     1.418     0.176     0.346
    -2.372     0.324     1.819     0.170     0.320
    -2.316     0.148    -0.645     0.179     0.349
    -2.323     0.068    -0.717     0.182     0.362
    -0.029     0.031     0.884     0.120     0.290
    -0.276     0.412     0.387     0.133     0.263
    -0.636     0.757    -0.014     0.153     0.312
    -1.003     0.844    -0.499     0.142     0.342
    -1.398     0.881    -0.693     0.164     0.334
     1.792    -1.097    -0.001     0.080     0.161
     3.049    -1.265    -0.766     0.069     0.119
     1.461    -0.863    -0.463     0.104     0.204
     0.889    -0.262    -0.596     0.181     0.261
