 0060 13-13-26   0.130   0.057   0.216   0.000   0.000   0.000   0.000   0.000   0.223
 0061 13-13-26   0.130   0.057   0.216   0.000   0.000   0.000   0.000   0.000   0.229
 0062 13-13-24   0.130   0.057   0.199   0.000   0.000   0.000   0.000   0.000   0.199
 0063 13-13-22   0.130   0.057   0.183   0.000   0.000   0.000   0.000   0.000   0.247
 0064 13-13-22   0.130   0.057   0.183   0.000   0.000   0.000   0.000   0.000   0.216
 0065 13-13-20   0.130   0.057   0.166   0.000   0.000   0.000   0.000   0.000   0.277
 0066 13-13-19   0.130   0.057   0.158   0.000   0.000   0.000   0.000   0.000   0.244
 0067 13-13-15   0.130   0.057   0.125   0.000   0.000   0.000   0.000   0.000   0.255
 0068 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.252
 0069 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.200
 0070 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.301
 0071 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.261
 0072 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.249
 0073 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.213
 0074 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.289
 0075 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.254
 0076 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.230
 0077 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.229
 0078 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.213
 0079 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.238
 0080 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.219
 0081 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.234
 0082 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.210
 0083 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.216
 0084 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.214
 0085 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   1.734
 0086 13-13-13   0.130   0.057   0.108   0.000   0.000   0.000   0.000   0.000   0.191
 0087 13-13-11   0.130   0.057   0.091   0.000   0.000   0.000   0.000   0.000   0.235
 0088 13-13-05   0.130   0.057   0.042   0.000   0.000   0.000   0.000   0.000   0.297
 0089 13-13-00   0.130   0.057   0.000   0.000   0.000   0.000   0.000   0.000   0.203
 0090 13-12-34   0.130   0.052   0.282   0.000   0.000   0.000   0.000   0.000   0.221
 0091 13-12-14   0.130   0.052   0.116   0.000   0.000   0.000   0.000   0.000   0.230
 0092 13-12-12   0.130   0.052   0.100   0.000   0.000   0.000   0.000   0.000   1.681
 0093 13-11-32   0.130   0.048   0.266   0.000   0.000   0.000   0.000   0.000   0.206
 0094 13-11-22   0.130   0.048   0.183   0.000   0.000   0.000   0.000   0.000   0.229
 0095 13-11-15   0.130   0.048   0.125   0.000   0.000   0.000   0.000   0.000   0.236
 0096 13-10-34   0.130   0.044   0.282   0.000   0.000   0.000   0.000   0.000   0.170
 0097 13-10-27   0.130   0.044   0.224   0.000   0.000   0.000   0.000   0.000   0.254
 0098 13-10-25   0.130   0.044   0.208   0.000   0.000   0.000   0.000   0.000   0.238
 0099 13-10-21   0.130   0.044   0.174   0.000   0.000   0.000   0.000   0.000   0.239
 0100 13-10-16   0.130   0.044   0.133   0.000   0.000   0.000   0.000   0.000   0.229
 0101 13-10-08   0.130   0.044   0.066   0.000   0.000   0.000   0.000   0.000   0.207
 0102 13-09-32   0.130   0.039   0.266   0.000   0.000   0.000   0.000   0.000   0.217
 0103 13-09-28   0.130   0.039   0.232   0.000   0.000   0.000   0.000   0.000   0.237
 0104 13-09-27   0.130   0.039   0.224   0.000   0.000   0.000   0.000   0.000   0.228
 0105 13-09-27   0.130   0.039   0.224   0.000   0.000   0.000   0.000   0.000   0.254
 0106 13-09-21   0.130   0.039   0.174   0.000   0.000   0.000   0.000   0.000   0.241
 0107 13-09-10   0.130   0.039   0.083   0.000   0.000   0.000   0.000   0.000   0.243
 0108 13-09-05   0.130   0.039   0.042   0.000   0.000   0.000   0.000   0.000   0.162
 0109 13-09-03   0.130   0.039   0.025   0.000   0.000   0.000   0.000   0.000   0.188
 0110 13-08-26   0.130   0.035   0.216   0.000   0.000   0.000   0.000   0.000   0.251
 0111 13-08-21   0.130   0.035   0.174   0.000   0.000   0.000   0.000   0.000   0.182
 0112 13-08-19   0.130   0.035   0.158   0.000   0.000   0.000   0.000   0.000   0.262
 0113 13-08-17   0.130   0.035   0.141   0.000   0.000   0.000   0.000   0.000   0.223
 0114 13-08-08   0.130   0.035   0.066   0.000   0.000   0.000   0.000   0.000   0.193
 0115 13-07-25   0.130   0.031   0.208   0.000   0.000   0.000   0.000   0.000   0.226
 0116 13-07-20   0.130   0.031   0.166   0.000   0.000   0.000   0.000   0.000   0.163
 0117 13-07-16   0.130   0.031   0.133   0.000   0.000   0.000   0.000   0.000   0.205
 0118 13-07-13   0.130   0.031   0.108   0.000   0.000   0.000   0.000   0.000   0.224
 0119 13-06-32   0.130   0.026   0.266   0.000   0.000   0.000   0.000   0.000   0.217
 0120 13-06-26   0.130   0.026   0.216   0.000   0.000   0.000   0.000   0.000   0.235
 0121 13-06-25   0.130   0.026   0.208   0.000   0.000   0.000   0.000   0.000   0.238
 0122 13-06-18   0.130   0.026   0.149   0.000   0.000   0.000   0.000   0.000   0.211
 0123 13-06-17   0.130   0.026   0.141   0.000   0.000   0.000   0.000   0.000   0.215
 0124 13-06-16   0.130   0.026   0.133   0.000   0.000   0.000   0.000   0.000   0.214
 0125 13-06-13   0.130   0.026   0.108   0.000   0.000   0.000   0.000   0.000   0.395
 0126 13-06-11   0.130   0.026   0.091   0.000   0.000   0.000   0.000   0.000   0.238
 0127 13-04-13   0.130   0.017   0.108   0.000   0.000   0.000   0.000   0.000   0.282
 0128 13-04-13   0.130   0.017   0.108   0.000   0.000   0.000   0.000   0.000   0.260
 0129 13-04-13   0.130   0.017   0.108   0.000   0.000   0.000   0.000   0.000   0.290
 0130 13-04-13   0.130   0.017   0.108   0.000   0.000   0.000   0.000   0.000   0.284
 0131 13-04-10   0.130   0.017   0.083   0.000   0.000   0.000   0.000   0.000   0.117
 0132 13-04-07   0.130   0.017   0.058   0.000   0.000   0.000   0.000   0.000   0.730
 0133 13-03-15   0.130   0.013   0.125   0.000   0.000   0.000   0.000   0.000   0.133
 0134 13-03-13   0.130   0.013   0.108   0.000   0.000   0.000   0.000   0.000   0.705
 0135 13-03-13   0.130   0.013   0.108   0.000   0.000   0.000   0.000   0.000   0.346
 0136 13-03-13   0.130   0.013   0.108   0.000   0.000   0.000   0.000   0.000   0.311
 0137 13-03-13   0.130   0.013   0.108   0.000   0.000   0.000   0.000   0.000   0.349
 0138 13-03-13   0.130   0.013   0.108   0.000   0.000   0.000   0.000   0.000   0.339
 0139 13-03-13   0.130   0.013   0.108   0.000   0.000   0.000   0.000   0.000   0.406
 0140 13-03-13   0.130   0.013   0.108   0.000   0.000   0.000   0.000   0.000   0.486
 0141 13-03-07   0.130   0.013   0.058   0.000   0.000   0.000   0.000   0.000   0.027
 0142 13-03-03   0.130   0.013   0.025   0.000   0.000   0.000   0.000   0.000   0.138
 0143 13-02-16   0.130   0.009   0.133   0.000   0.000   0.000   0.000   0.000   0.193
 0144 13-02-13   0.130   0.009   0.108   0.000   0.000   0.000   0.000   0.000   0.705
 0145 13-00-46   0.130   0.000   0.382   0.000   0.000   0.000   0.000   0.000   0.581
 0146 13-00-46   0.130   0.000   0.382   0.000   0.000   0.000   0.000   0.000   1.068
 0147 13-00-44   0.130   0.000   0.365   0.000   0.000   0.000   0.000   0.000   0.179
 0148 13-00-44   0.130   0.000   0.365   0.000   0.000   0.000   0.000   0.000   1.680
 0149 13-00-44   0.130   0.000   0.365   0.000   0.000   0.000   0.000   0.000   1.127
 0150 13-00-44   0.130   0.000   0.365   0.000   0.000   0.000   0.000   0.000   0.779
 0151 13-00-43   0.130   0.000   0.357   0.000   0.000   0.000   0.000   0.000   0.195
 0152 13-00-42   0.130   0.000   0.349   0.000   0.000   0.000   0.000   0.000   0.190
 0153 13-00-42   0.130   0.000   0.349   0.000   0.000   0.000   0.000   0.000   1.648
 0154 13-00-37   0.130   0.000   0.307   0.000   0.000   0.000   0.000   0.000   0.183
 0155 13-00-35   0.130   0.000   0.291   0.000   0.000   0.000   0.000   0.000   0.177
 0156 13-00-34   0.130   0.000   0.282   0.000   0.000   0.000   0.000   0.000   0.225
 0157 13-00-30   0.130   0.000   0.249   0.000   0.000   0.000   0.000   0.000   0.193
 0158 13-00-30   0.130   0.000   0.249   0.000   0.000   0.000   0.000   0.000   0.209
 0159 13-00-27   0.130   0.000   0.224   0.000   0.000   0.000   0.000   0.000   0.212
 0160 13-00-24   0.130   0.000   0.199   0.000   0.000   0.000   0.000   0.000   0.193
 0161 13-00-23   0.130   0.000   0.191   0.000   0.000   0.000   0.000   0.000   0.181
 0162 13-00-20   0.130   0.000   0.166   0.000   0.000   0.000   0.000   0.000   0.196
 0163 13-00-13   0.130   0.000   0.108   0.000   0.000   0.000   0.000   0.000   0.670
 0164 13-00-08   0.130   0.000   0.066   0.000   0.000   0.000   0.000   0.000   0.218
 0165 13-00-00   0.130   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.491
 0166 13-00-00   0.130   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.178
 0167 13-00-00   0.130   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.530
 0168 13-00-00   0.130   0.000   0.000   0.000   0.000   0.000   0.000   0.000   0.897
 0169 12-48-08   0.120   0.209   0.066   0.000   0.000   0.000   0.000   0.000   2.542
 0170 12-46-00   0.120   0.201   0.000   0.000   0.000   0.000   0.000   0.000   0.284
 0171 12-42-00   0.120   0.183   0.000   0.000   0.000   0.000   0.000   0.000   0.322
 0172 12-36-12   0.120   0.157   0.100   0.000   0.000   0.000   0.000   0.000   0.257
 0173 12-36-00   0.120   0.157   0.000   0.000   0.000   0.000   0.000   0.000   0.320
 0174 12-35-00   0.120   0.153   0.000   0.000   0.000   0.000   0.000   0.000   0.287
 0175 12-34-05   0.120   0.148   0.042   0.000   0.000   0.000   0.000   0.000   0.269
 0176 12-33-05   0.120   0.144   0.042   0.000   0.000   0.000   0.000   0.000   0.309
 0177 12-33-04   0.120   0.144   0.033   0.000   0.000   0.000   0.000   0.000   0.279
 0178 12-32-20   0.120   0.140   0.166   0.000   0.000   0.000   0.000   0.000   0.286
 0179 12-32-18   0.120   0.140   0.149   0.000   0.000   0.000   0.000   0.000   0.259
 0180 12-32-18   0.120   0.140   0.149   0.000   0.000   0.000   0.000   0.000   0.259
 0181 12-32-17   0.120   0.140   0.141   0.000   0.000   0.000   0.000   0.000   0.223
 0182 12-32-14   0.120   0.140   0.116   0.000   0.000   0.000   0.000   0.000   0.288
