 6981 00-10-20   0.000   0.044   0.166   0.000   0.000   0.000   0.000   0.000   0.000   0.125
 7000 KNO3       0.130   0.000   0.365   0.000   0.000   0.000   0.000   0.000   0.000   0.125
 8001 B-FRESH   0.0140  0.0080  0.0000  0.0260  0.0040  0.9900   0.000  0.3000  0.0013  0.0122
 8002 B-FDLT-S  0.0010  0.0030  0.0000  0.0090  0.0020  0.5000   0.000  0.3000  0.0094  0.0122
 8003 B-FDLT-P  0.0300  0.0040  0.0000  0.0200  0.0020  0.9900   0.000  0.3000  0.0013  0.0085
 8004 B-FDLT-C  0.0020  0.0040  0.0000  0.0130  0.0020  0.9900   0.000  0.3000  0.0013  0.0122
 8005 D-FRESH   0.0120  0.0040  0.0000  0.0210  0.0020  0.9900   0.000  0.3000  0.0013  0.0122
 8006 D-1-LAGH  0.6800  0.1700  0.0000  0.0700  0.0800  0.9000   0.000  0.3000  0.0013  0.0122
 8007 D-1-LAGE  0.7000  0.1500  0.0000  0.0800  0.0700  0.9000   0.000  0.3000  0.0013  0.0122
 8008 D-SO-LGN  0.0490  0.0818  0.0000  0.6480  0.2210  0.9720   0.000  0.3000  0.0013  0.0122
 8009 D-LQ-LGN  0.5660  0.0896  0.0000  0.1020  0.2420  0.9870   0.000  0.3000  0.0000  0.0122
 8010 goat-fsh  0.0190  0.0100  0.0000  0.0380  0.0050  0.9900   0.000  0.3000  0.0000  0.0122
 8011 hog-frsh  0.0210  0.0160  0.0000  0.0400  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8012 horse-fs  0.0130  0.0060  0.0000  0.0230  0.0030  0.9900   0.000  0.3000  0.0000  0.0122
 8013 P-DPIT-B  0.0100  0.0100  0.0000  0.0100  0.0070  0.9900   0.000  0.3000  0.0000  0.0000
 8014 P-DPIT-L  0.0100  0.0100  0.0000  0.0100  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8015 P-FRSH-B  0.0060  0.0100  0.0000  0.0540  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8016 P-FRSH-D  0.0030  0.0050  0.0000  0.0270  0.0020  0.9900   0.000  0.3000  0.0000  0.0122
 8017 P-FRSH-G  0.0030  0.0100  0.0000  0.0270  0.0060  0.9900   0.000  0.3000  0.0000  0.0122
 8018 P-FRSH-L  0.0050  0.0100  0.0000  0.0450  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8019 P-FRSH-P  0.0030  0.0100  0.0000  0.0270  0.0050  0.9900   0.000  0.3000  0.0000  0.0122
 8020 P-FRSH-T  0.0060  0.0100  0.0000  0.0540  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8021 P-LIQ-B   0.0040  0.0100  0.0000  0.0400  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8022 P-LIQ-L   0.0040  0.0100  0.0000  0.0400  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8023 P-MPIT-B  0.0200  0.0100  0.0000  0.0200  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8024 P-MPIT-L  0.0200  0.0100  0.0000  0.0200  0.0070  0.9900   0.000  0.3000  0.0000  0.0122
 8025 sheep-fs  0.0180  0.0070  0.0000  0.0350  0.0030  0.9900   0.000  0.3000  0.0000  0.0122
 8026 veal-fsh  0.0140  0.0080  0.0000  0.0260  0.0040  0.9900   0.000  0.3000  0.0013  0.0122
 8027 D-SO-MNU  0.0017  0.0066  0.0000  0.0218  0.0038  0.9716   0.000  0.3500  0.0000  0.0122
 8028 D-LIQ     0.0017  0.0066  0.0000  0.0218  0.0038  0.9716   0.000  0.3500  0.0000  0.0122
# NUM NAME       FN      FP      FK      FNO     FPO     FNH3    FUREA   FOC     FSLT    FCST  FCST
 
